name,info,sku,cost,deliverable,on_sale,price,manual_sale,count,in_store_warranty,parts_labor_warranty,photos,type,subtype
Stainless Steel Hoses,"Refrigerator, Washer","0001",0,True,False,3500,0,1,30,90,https://mscapplianceabq.com/wp-content/uploads/2022/03/Refrigerator-stainless-water-line-scaled-1-1017x2048.jpg,Appliance Set,Appliance Bundle
Stainless Steam Kit,"Stainless Steam Kit","0002",0,True,False,3500,0,1,30,90,"https://mscapplianceabq.com/wp-content/uploads/2022/03/Dryer-Stainless-Steam-kit-scaled-1-1446x2048.jpg
https://mscapplianceabq.com/wp-content/uploads/2022/03/Dryer-Stainless-Steam-kit-scaled-1.jpg",Misc,Accessory
Rubber Water Hose,"Refrigerator Line, Washer Line","0003",0,True,False,2500,0,1,30,90,"https://mscapplianceabq.com/wp-content/uploads/2022/03/Washer-Rubber-water-line-scaled-1-2048x1342.jpg
https://mscapplianceabq.com/wp-content/uploads/2022/03/Washer-Rubber-water-line-scaled-1.jpg",Appliance Set,Appliance Bundle
Rubber Steam Kit,"Rubber Steam Kit","0004",0,True,False,2500,0,1,30,90,https://mscapplianceabq.com/wp-content/uploads/2022/03/Dryer-Rubber-Steam-kit-scaled-1-1326x2048.jpg,Misc,Accessory
Gas Range Flex Line,"Gas Range Flex Line","0005",0,True,False,2500,0,1,30,90,https://mscapplianceabq.com/wp-content/uploads/2022/03/Gas-Range-flex-line-scaled-1-1083x2048.jpg,Range,Accessory
Gas Dryer Flex Line,"Gas Dryer Flex Line","0006",0,True,False,2500,0,1,30,90,https://mscapplianceabq.com/wp-content/uploads/2022/03/Gas-Dryer-flex-line-scaled-1-1174x2048.jpg,Dryer,Accessory
Dryer Venting with 2 Clamps,"Dryer Venting with 2 Clamps","0007",0,True,False,1200,0,1,30,90,"https://mscapplianceabq.com/wp-content/uploads/2022/03/Dryer-venting-clamps-1511x2048.jpg
https://mscapplianceabq.com/wp-content/uploads/2022/03/Dryer-venting-clamps.jpg",Dryer,Standard Dryer
Dishwasher Cord/Hose,"Dishwasher Cord/Hose","0008",0,True,False,2500,0,1,30,90,"https://mscapplianceabq.com/wp-content/uploads/2022/03/dishwasher-hose-scaled-1-2048x1404.jpg
https://mscapplianceabq.com/wp-content/uploads/2022/03/dishwasher-hose-scaled-1.jpg",Dish Washer,Built-In
Whirlpool TopLoad Washer,"This unit has been tested and works. It has been cleaned inside and out and is ready to be delivered to your home. This unit comes with 12 washing cyvmes, 5 wash and rinse temperatures, presoak, normal, deep water wash, extra rinse and a push start/pause. This unit comes with a 90-day parts and labor warranty from a 5-star business. If interested message me or come on into 5815 Lomas Boulevard Northeast. We accept cash, credit, debit cards and ACIMA no credit payment plan options. We hope to see you in soon!",4791.0,0,True,False,42900,0,1,30,90,"https://mscapplianceabq.com/wp-content/uploads/2025/12/20251215_150255-rotated.jpg
https://mscapplianceabq.com/wp-content/uploads/2025/12/20251215_150259.jpg
https://mscapplianceabq.com/wp-content/uploads/2025/12/20251215_150306.jpg",Washer,Top Load
Whirlpool Top Load Washer/Electric Dryer Set,"This set has been tested and works. Both the washer and dryer have been cleaned inside and out and are ready to be delivered to your home. The washer comes with 12 washing cycles including clean washer, 5 wash and rinse temperatures, 4 soil levels, extra rinse option, deep water wash, cold wash, presoak, and a push to start/pause button. The dryer comes with 6 drying cycles, 3 drying temperatures, wrinkle shield, time dry, energy preferred, end of cycle signal, and a push to start knob. This set comes with a 90-day parts and labor warranty from a 5-star business. If interested message me or come on into 5815 Lomas Boulevard Northeast. We accept cash, credit, debit cards and ACIMA no credit payment plan options. We hope to see you in soon!",4912.0,0,True,False,59900,0,1,30,90,"https://mscapplianceabq.com/wp-content/uploads/2026/01/20260122_145347.jpg
https://mscapplianceabq.com/wp-content/uploads/2026/01/20260122_145351.jpg
https://mscapplianceabq.com/wp-content/uploads/2026/01/20260122_145355.jpg
https://mscapplianceabq.com/wp-content/uploads/2026/01/20260122_145405.jpg
https://mscapplianceabq.com/wp-content/uploads/2026/01/20260122_145411.jpg",Appliance Set,Washer & Dryer Set
Whirlpool Top Load Washer Electric Dryer Set,"This set has been tested and works. Both the washer and dryer have been cleaned inside and out and are ready to be delivered to your home. The washer comes with 12 washing cycles including clean washer, 5 wash and rinse temperatures, 4 soil levels, extra rinse option, deep water wash, cold wash, presoak, and a push to start/pause button. The dryer comes with 6 drying cycles, 3 drying temperatures, wrinkle shield, time dry, energy preferred, end of cycle signal, and a push to start knob. This set comes with a 90-day parts and labor warranty from a 5-star business. If interested message me or come on into 5815 Lomas Boulevard Northeast. We accept cash, credit, debit cards and ACIMA no credit payment plan options. We hope to see you in soon!",4897.0,0,True,True,69900,62900,1,30,90,"https://mscapplianceabq.com/wp-content/uploads/2026/01/20260119_121351.jpg
https://mscapplianceabq.com/wp-content/uploads/2026/01/20260119_121403.jpg
https://mscapplianceabq.com/wp-content/uploads/2026/01/20260119_121410.jpg
https://mscapplianceabq.com/wp-content/uploads/2026/01/20260119_121426.jpg
https://mscapplianceabq.com/wp-content/uploads/2026/01/20260119_121436.jpg",Appliance Set,Washer & Dryer Set
Whirlpool Top Load Washer,"This unit has been tested and works. It has been cleaned inside and out and is ready to be delivered to your home. This unit comes with 12 washing cycles, 5 wash temperatures, 4 soil levels, presoak, normal, deep water wash, extra rinse and a push start/pause. This unit comes with a 90-day parts and labor warranty from a 5-star business. If interested message me or come on into 5815 Lomas Boulevard Northeast. We accept cash, credit, debit cards and ACIMA no credit payment plan options. We hope to see you in soon!",4501.0,0,True,False,44900,0,1,30,90,"https://mscapplianceabq.com/wp-content/uploads/2025/10/20251001_113731-rotated.jpg
https://mscapplianceabq.com/wp-content/uploads/2025/10/20251001_113736.jpg
https://mscapplianceabq.com/wp-content/uploads/2025/10/20251001_113740.jpg",Washer,Top Load
Whirlpool Front Load Washer,"This unit has been tested and works. It has been cleaned inside and out and is ready to be delivered to your home. This unit is an energy star unit. The washer comes with 5 wash and rinse temperatures, 10 washing cycles, 4 spin speeds, 3 soil levels, delay wash, quick wash, tub clean, extra rinse, estimated time remaining, end of cycle signal and a hold to start button. This unit comes with a 90-day parts and labor warranty from a 5-star business. If interested message me or come on into 5815 Lomas Boulevard Northeast. We accept cash, credit, debit cards and ACIMA no credit payment plan options. We hope to see you in soon!",4317.0,0,True,True,69900,62900,1,30,90,"https://mscapplianceabq.com/wp-content/uploads/2025/08/PXL_20250813_154355238.MP_.jpg
https://mscapplianceabq.com/wp-content/uploads/2025/08/PXL_20250813_154402731.jpg
https://mscapplianceabq.com/wp-content/uploads/2025/08/PXL_20250813_154407999.jpg
https://mscapplianceabq.com/wp-content/uploads/2025/08/PXL_20250813_154415719.jpg",Washer,Front Load
Whirlpool Electric Dryer,"This unit has been tested and works. It has been cleaned inside and out and is ready to be delivered to your home. This unit comes with, 4 drying cycles, 3 drying temperatures, fluff air, time dry, end of cycle signal and a push to start knob. This unit comes with a 90-day parts and labor warranty for the regular price or a 30-day parts and labor warranty for the sale price from a 5-star business. If interested message me or come on into 5815 Lomas Boulevard Northeast. We accept cash, credit, debit cards and ACIMA no credit payment plan options. We hope to see you in soon!",4883.0,0,True,True,32900,22900,1,30,90,"https://mscapplianceabq.com/wp-content/uploads/2026/01/20260122_142450-rotated.jpg
https://mscapplianceabq.com/wp-content/uploads/2026/01/20260116_105305.jpg
https://mscapplianceabq.com/wp-content/uploads/2026/01/20260116_105318.jpg
https://mscapplianceabq.com/wp-content/uploads/2026/01/20260122_142454.jpg
https://mscapplianceabq.com/wp-content/uploads/2026/01/20260122_142459.jpg",Dryer,Electric
Whirlpool Electric Dryer,"This unit has been tested and works. It has been cleaned inside and out and is ready to be delivered to your home. This unit comes with 8 drying cycles, 3 drying temperatures, wrinkle shield, time dry, fluff air, end of cycle signal, and a push to start knob. This unit comes with a 90-day parts and labor warranty for regular price or a 30-day parts and labor warranty for the sale price from a 5-star business. If interested message me or come on into 5815 Lomas Boulevard Northeast. We accept cash, credit, debit cards and ACIMA no credit payment plan options. We hope to see you in soon!",4763.0,0,True,True,32900,22900,1,30,90,"https://mscapplianceabq.com/wp-content/uploads/2025/12/20251210_094325-rotated.jpg
https://mscapplianceabq.com/wp-content/uploads/2025/12/20251210_094336.jpg
https://mscapplianceabq.com/wp-content/uploads/2025/12/20251210_094346.jpg
https://mscapplianceabq.com/wp-content/uploads/2025/12/20251210_094358.jpg",Dryer,Electric
Whirlpool Duet Front Load Washer Electric Dryer Set,"This set has been tested and works. Both the washer and dryer have been cleaned inside and out and are ready to be delivered to your home. The washer comes with, 4 wash and rinse temperatures, 7 washing cycles, 4 spin speeds, 3 soil levels, heavy duty, drain and spin, quick wash, delicates, sanitize, delay wash, end of cycle signal and a hold to start button. The dryer comes with 6 drying cycles, 4 drying temperatures, time dry, 3 dryness levels, wrinkle shield, estimated time remaining, damp dry signal, and a hold to start button. This set comes with a 90-day parts and labor warranty from a 5-star business. If interested message me or come on into 5815 Lomas Boulevard Northeast. We accept cash, credit, debit cards and ACIMA no credit payment plan options. We hope to see you in soon!",4492.0,0,True,False,64900,0,1,30,90,"https://mscapplianceabq.com/wp-content/uploads/2025/09/PXL_20250930_211358050.jpg
https://mscapplianceabq.com/wp-content/uploads/2025/09/PXL_20250930_211407324.jpg
https://mscapplianceabq.com/wp-content/uploads/2025/09/PXL_20250930_211412443.jpg
https://mscapplianceabq.com/wp-content/uploads/2025/09/PXL_20250930_211625217.jpg
https://mscapplianceabq.com/wp-content/uploads/2025/09/PXL_20250930_211631883.jpg",Appliance Set,Washer & Dryer Set
Whirlpool Duet Front Load Washe Electric Dryer Set w/Steam,"This set has been tested and works. Both the washer and dryer have been cleaned inside and out and are ready to be delivered to your home. Both units are steam. The washer comes with 9 washing cycles, 4 wash and rinse temperatures, 4 spin speeds, 3 soil levels, quick wash, presoak, eco monitor, extra rinse, steam clean, control lock, tumble fresh, estimated time remaining, clean washer, end of cycle signal and a hold to start and power button. The dryer comes with 9 drying cycles including steam refresh, 5 drying temperatures, 3 dryness levels, time dry, damp dry signal, end of cycle signal, wrinkle shield, drum light, eco boost, control lock, estimated time remaining and a hold to start/pause, and power button. This set comes with a 90-day parts and labor warranty from a 5-star business. If interested message me or come on into 5815 Lomas Boulevard Northeast. We accept cash, credit, debit cards and ACIMA no credit payment plan options. We hope to see you in soon!",4700.0,0,True,True,89900,79900,1,30,90,"https://mscapplianceabq.com/wp-content/uploads/2025/11/PXL_20251121_200135119.jpg
https://mscapplianceabq.com/wp-content/uploads/2025/11/PXL_20251121_200146528.jpg
https://mscapplianceabq.com/wp-content/uploads/2025/11/PXL_20251121_200153700.MP_.jpg
https://mscapplianceabq.com/wp-content/uploads/2025/11/PXL_20251121_200158092.jpg
https://mscapplianceabq.com/wp-content/uploads/2025/11/PXL_20251121_200203634.jpg",Appliance Set,Washer & Dryer Set
Whirlpool Duet Front Load Steam Washer Electric Steam Dryer Set W/ Pedestals,"This set has been tested and works. Both the washer and dryer have been cleaned inside and out and are ready to be delivered to your home. The washer comes with, 5 wash and rinse temperatures, 10 washing cycles, 4",4776.0,0,True,False,64900,0,1,30,90,"https://mscapplianceabq.com/wp-content/uploads/2025/12/20251210_151203-rotated.jpg
https://mscapplianceabq.com/wp-content/uploads/2025/12/20251210_151208.jpg
https://mscapplianceabq.com/wp-content/uploads/2025/12/20251210_151213.jpg
https://mscapplianceabq.com/wp-content/uploads/2025/12/20251210_151221-rotated.jpg
https://mscapplianceabq.com/wp-content/uploads/2025/12/20251210_151228-rotated.jpg
https://mscapplianceabq.com/wp-content/uploads/2025/12/20251210_151428.jpg",Appliance Set,Washer & Dryer Set
